product_id,brand,title,price,category,rating,image_url,product_url
B0891XLQ63,J World New York,Unisex Lash Rolling Backpack,289.0,Luggage,3.8,https://m.media-amazon.com/images/I/81npM4ZG+CL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0891XLQ63
B09V7WKWXD,Calvin Klein,CAPTURED MESH FAMILY Men Jewelry,272.71,Accessories,3.8,https://m.media-amazon.com/images/I/51oxHQQE8AL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09V7WKWXD
B071Z8X7V3,adidas,"Striker 2 Team Backpack, Team Navy Blue, Striker 2 Team Backpack",139.0,Luggage,4.8,https://m.media-amazon.com/images/I/81MdTUia6NL._AC_UL320_.jpg,https://www.amazon.ae/dp/B071Z8X7V3
B09HZB819H,adidas,Tensaur Run 2.0 Hook and Loop Shoes unisex-child Shoes,144.88,Most-Loved Fashion,4.4,https://m.media-amazon.com/images/I/412wSbXljeL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09HZB819H
B09N95XFFX,Levi's,Men T-Shirt,24.83,Outlet,3.6,https://m.media-amazon.com/images/I/71TvuTLWGkL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N95XFFX
B077813SF6,Skechers,Nampa-Groton mens Work Shoe,166.93,Shoes,4.1,https://m.media-amazon.com/images/I/816ZVBvIKfL._AC_UL320_.jpg,https://www.amazon.ae/dp/B077813SF6
B093T5RTQP,TTXSHYH,"Black Obsidian Bracelet,Feng Shui Black Obsidian Wealth Bracelet for Women Men Stretch Obsidian Bracelet Bangle with Pixiu Tiger Eye Stone Attract Wealth Money and Good Luck",115.0,Accessories,3.9,https://m.media-amazon.com/images/I/51ynumDXEuS._AC_UL320_.jpg,https://www.amazon.ae/dp/B093T5RTQP
B0B6NR1HD1,Bourge,Girls Soho Z1 Sports Shoes,19.62,Made for Amazon,4.0,https://m.media-amazon.com/images/I/81Vo5nMnhhL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B6NR1HD
B07XLN21H6,Tissot,Mens Gentleman Stainless Steel Dress Watch Grey,1067.55,Watches,4.4,https://m.media-amazon.com/images/I/61oOtOCPJZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07XLN21H6
B0BFNNC5BV,Crocs,Unisex Adults 208392-001 Mellow Slide,139.0,Shoes,4.4,https://m.media-amazon.com/images/I/41EviXSZg-L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BFNNC5BV
B09GLPFXWV,ELECDON,"Clear Toiletry Bag, 3 Pack TSA Approved Toiletry Bag Clear Makeup Bag, Travel Clear Cosmetic Bag for Women Men Quart Size Bag, Carry on Airport Airline Compliant Bag (White)",45.99,Luggage,4.5,https://m.media-amazon.com/images/I/51rBNvI7JcL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09GLPFXWV
B07MG7VHGW,Other,PK-302 Classy Stainless Steel Round Stud Earring for Men,35.0,Accessories,3.9,https://m.media-amazon.com/images/I/51ZPpBlR4uL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07MG7VHGW
B07SMG3SRL,DKNY,"Luggage 21"" Upright with 8 Spinner Wheels, Abs+pc Case, Weekend Bag",415.93,Most-Loved Fashion,4.5,https://m.media-amazon.com/images/I/71SinGhcnqL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07SMG3SRL
B0BNPQ3W6Q,ACESAK,Backpack for Boys - Kids Backpack with Lunch Bag - Bookbag Set for Kids Boys Girls Teens Elementary Middle School,152.0,Luggage,4.7,https://m.media-amazon.com/images/I/81d+-dXvuEL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BNPQ3W6Q
B0D7QD1G2R,Calvin Klein,Mens BOXER BRIEF 3PK Underwear Bottoms,129.0,New season,4.4,https://m.media-amazon.com/images/I/81fgDe0J6mL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D7QD1G2R
B0BPTL2KXF,adidas,unisex Classic Foundation Backpack BACKPACK,41.0,Luggage,4.6,https://m.media-amazon.com/images/I/81LuRTsYrqL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BPTL2KXF
B076GX6J5F,Kipling,Unisex Kids Freedom Luggage- Kids' Luggage,111.0,New season,4.7,https://m.media-amazon.com/images/I/511N3L0bXML._AC_UL320_.jpg,https://www.amazon.ae/dp/B076GX6J5F
B0983LWFXT,Nike,Court Vision Lo Nn mens LACED SHOES,,Shoes,4.2,https://m.media-amazon.com/images/I/51yw0T1XtTL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0983LWFXT
B0CVXTS7XP,Casio,General Line Watch: Black WS-1700H-1AVDF,143.59,New season,4.4,https://m.media-amazon.com/images/I/61L8QaDng7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CVXTS7XP
B098YPZPXV,Nike,Unisex Heritage Gym Bag,90.0,Handbags,4.6,https://m.media-amazon.com/images/I/71DhDoPAhAL._AC_UL320_.jpg,https://www.amazon.ae/dp/B098YPZPXV
B0BSS3TCNS,KRAVE,Men Floral Printed Swim Shorts Trunks,34.0,Made for Amazon,4.3,https://m.media-amazon.com/images/I/61mu6wjiEbL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BSS3TCNS
B09DC9MPZ6,Lgtfy,"Mens Slimming Body Shaper Vest, Chest Abdomen Compression Tank Top, Belly Hiding Undershirts - Change in Seconds",34.38,Sportswear,4.0,https://m.media-amazon.com/images/I/61n-+JlFcmL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09DC9MPZ6
B07GC92QXM,Casio,Edifice Men's Quartz Watch,282.36,Watches,4.4,https://m.media-amazon.com/images/I/71w4FOdaxFL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07GC92QXM
B07D11H7ZG,Naviforce,Men's Sport Military Watches Waterproof Analog Quartz Watch Date Multifunction Leather Army Wristwatch,129.0,Watches,4.4,https://m.media-amazon.com/images/I/61zveqj1pZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07D11H7ZG
B07V8FNHFK,Fossil,"Necklace for Women Stainless Steel Pendant Necklace, length 40cm + 5cm",171.0,Outlet,4.2,https://m.media-amazon.com/images/I/71+sLhcyU4L._AC_UL320_.jpg,https://www.amazon.ae/dp/B07V8FNHFK
B0995ZRMLL,PUMA,Multiflex SL V PS unisex-child Low Boots,70.9,Outlet,4.0,https://m.media-amazon.com/images/I/61RBNfPkU0L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0995ZRMLL
B0CC4QMC74,ZLFSRQ,3Pcs Checkered Makeup Bag for Women Large Cosmetic Bag Set Travel Toiletry Bag Makeup Pouch Bag for Purse Pink Zipper Storage Bag Organizer Cute Small Aesthetic Girls Car Essentials Bag,39.01,Luggage,4.6,https://m.media-amazon.com/images/I/81HPXsxYJtL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CC4QMC74
